Array size,Min 1,Min 2
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,1.5,1.6
600,1.6,0
700,3.1,1.5
800,3.2,1.5
900,3.1,1.6
1000,4.7,3.1
1100,4.7,4.7
1200,6.2,3.1
1300,7.8,4.7
1400,7.8,6.2
1500,9.4,6.2
1600,11,7.8
1700,12.4,7.8
1800,14.1,9.3
1900,15.6,9.4
2000,18.7,10.9
2100,18.8,12.4
2200,21.9,12.5
2300,23.4,14
2400,24.9,14.1
2500,26.5,17.2
2600,29.6,17.2
2700,31.2,20.2
2800,35.9,20.3
2900,39,23.4
3000,40.6,24.9
3100,43.7,26.5
3200,45.3,29.6
3300,48.4,29.6
3400,53,31.2
3500,56.2,34.3
3600,59.3,35.8
3700,62.4,39
3800,65.6,39
3900,68.6,42.1
4000,71.8,43.7
4100,76.5,45.2
4200,79.6,46.8
4300,82.6,50
4400,84.2,51.5
4500,88.9,54.6
4600,93.6,56.2
4700,99.8,57.7
4800,103,62.4
4900,106.1,63.9
5000,109.2,65.5
5100,115.4,68.7
5200,121.7,71.7
5300,124.8,74.9
5400,129.4,78
5500,134.2,81.1
5600,135.7,84.3
5700,141.9,85.8
5800,151.4,88.9
5900,156,92
6000,159.1,95.2
6100,165.3,98.3
6200,170,103
6300,173.1,107.7
6400,177.8,110.8
6500,188.7,112.3
6600,188.8,117
6700,196.5,120.1
6800,201.3,123.2
6900,212.2,126.3
7000,215.3,129.5
7100,218.4,134.2
7200,226.2,137.3
7300,237.1,142
7400,237.1,146.7
7500,251.1,149.8
7600,252.7,152.9
7700,257.4,157.5
7800,271.5,162.2
7900,271.4,165.4
8000,277.7,171.6
8100,287,174.7
8200,298,179.4
8300,304.2,184.1
8400,308.9,188.7
8500,315.1,191.9
8600,327.6,196.6
8700,336.9,201.3
8800,340.1,205.9
8900,354.2,212.1
9000,354.1,216.8
9100,369.8,223
9200,379.1,227.8
9300,382.2,232.4
9400,390,235.6
9500,399.4,240.2
9600,404,246.5
9700,418.1,251.2
9800,424.3,255.8
9900,429,260.5
10000,438.4,266.8
